image #,x,y,a
1,490.5 px,1365 px,1.687
1,434.5 px,773.5 px,-5.135
1,64.5 px,694 px,4.054
1,648.5 px,1160.5 px,0.087
1,341.5 px,972 px,-12.992
1,166 px,1128.5 px,9.470
1,630 px,1409 px,-10.022
1,260.5 px,1401 px,8.088
1,486 px,1311 px,5.280
1,279.5 px,1316.5 px,-7.806
1,599 px,1267 px,-1.241
1,898.5 px,1516.5 px,-18.286
1,223 px,1540.5 px,-16.686
1,582 px,1425 px,8.569
1,302.5 px,1337.5 px,-8.829
1,679 px,1491 px,-5.208
1,356.5 px,1330.5 px,-18.286
1,204.5 px,1503.5 px,4.176
1,1569.5 px,2779.5 px,5.654
1,1530.5 px,3240.5 px,-5.115
1,1843.5 px,2847 px,-11.391
1,1662.5 px,2997.5 px,11.071
1,1061.5 px,2935 px,1.881
1,1131 px,2406 px,-0.742
1,1311.5 px,2807.5 px,4.479
1,1023.5 px,2598.5 px,-8.599
1,1277.5 px,3055.5 px,-5.629
1,1128 px,3097.5 px,9.673
1,1718.5 px,2372 px,4.054
1,1820 px,2806.5 px,9.470
1,995.5 px,3242 px,4.054
1,1617.5 px,3218.5 px,5.654
1,1766.5 px,2811 px,4.054
1,1333.5 px,2255.5 px,-2.511
1,1654 px,2235.5 px,4.054
1,1755 px,2669.5 px,9.470
1,1849.5 px,2942.5 px,8.088
1,1256.5 px,2475 px,-11.391
1,1545 px,2844 px,-0.742
1,1162.5 px,2954.5 px,8.447
1,1437.5 px,3036.5 px,-8.599
1,1622 px,2391 px,13.863
1,1692 px,2664.5 px,12.481
1,1311 px,2810.5 px,-0.911
1,1354.5 px,2279 px,-3.535
1,982.5 px,2407.5 px,5.654
1,1557.5 px,2671 px,1.687
1,1075.5 px,2625.5 px,11.071
1,1715.5 px,2466.5 px,0.087
1,1408.5 px,2278 px,-12.992
1,1233 px,2434.5 px,9.470
1,1697 px,2715 px,-10.022
1,1327.5 px,2707 px,8.088
1,1553 px,2617 px,5.280
1,1346.5 px,2622.5 px,-7.806
1,1666 px,2573 px,-1.241
1,1813.5 px,2996.5 px,4.176
1,1290 px,2846.5 px,-16.686
1,1611 px,3189 px,-6.036
1,1649 px,2731 px,8.569
1,1745.5 px,2997.5 px,7.186
1,1375 px,3177 px,-6.206
1,1369.5 px,2643.5 px,-8.829
1,1016 px,2806 px,0.360
1,1607.5 px,3015.5 px,-3.608
1,1130.5 px,3015 px,5.776
1,1746 px,2797 px,-5.208
1,1423.5 px,2636.5 px,-18.286
1,1271.5 px,2809.5 px,4.176
1,1751 px,3045 px,-15.316
1,1391 px,3073 px,2.794
1,1603 px,2962.5 px,-0.015
1,1176 px,2614.5 px,-2.511
1,1496.5 px,2594.5 px,4.054
1,1773.5 px,2872 px,-12.992
1,1597 px,3028.5 px,9.470
1,1099 px,2834 px,-11.391
1,1387 px,3203 px,-0.742
1,1465 px,2749.5 px,13.863
1,1534 px,3024 px,12.481
1,1153.5 px,3169.5 px,-0.911
1,1197 px,2638 px,-3.535
1,1400 px,3030 px,1.687
1,1343.5 px,2438.5 px,-5.135
1,974.5 px,2359 px,4.054
1,1558 px,2825.5 px,0.087
1,1251.5 px,2637 px,-12.992
1,1075.5 px,2793 px,9.470
1,1540 px,3074.5 px,-10.022
1,1170 px,3066 px,8.088
1,1395.5 px,2976 px,5.280
1,1189 px,2981.5 px,-7.806
1,1508.5 px,2932 px,-1.241
1,1807.5 px,3181.5 px,-18.286
1,1133 px,3205 px,-16.686
1,1491.5 px,3090 px,8.569
1,1211.5 px,3002.5 px,-8.829
1,1588.5 px,3156 px,-5.208
1,1266.5 px,2995 px,-18.286
1,1114.5 px,3168.5 px,4.176
1,1073.5 px,2112.5 px,5.654
1,1034.5 px,2573.5 px,-5.115
1,1347.5 px,2180 px,-11.391
1,1166.5 px,2330.5 px,11.071
1,565.5 px,2268 px,1.881
1,635 px,1739 px,-0.742
1,815.5 px,2140.5 px,4.479
1,527.5 px,1931.5 px,-8.599
1,781.5 px,2388.5 px,-5.629
1,632 px,2430.5 px,9.673
1,1222.5 px,1705 px,4.054
1,1324 px,2139.5 px,9.470
1,499.5 px,2575 px,4.054
1,1121.5 px,2551.5 px,5.654
1,1270.5 px,2144 px,4.054
1,837.5 px,1588.5 px,-2.511
1,1158 px,1568.5 px,4.054
1,1259 px,2002.5 px,9.470
1,1353.5 px,2275.5 px,8.088
1,760.5 px,1808 px,-11.391
1,1049 px,2177 px,-0.742
1,666.5 px,2287.5 px,8.447
1,941.5 px,2369.5 px,-8.599
1,1126 px,1724 px,13.863
1,1196 px,1997.5 px,12.481
1,815 px,2143.5 px,-0.911
1,858.5 px,1612 px,-3.535
1,486.5 px,1740.5 px,5.654
1,1061.5 px,2004 px,1.687
1,579.5 px,1958.5 px,11.071
1,1219.5 px,1799.5 px,0.087
1,912.5 px,1611 px,-12.992
1,737 px,1767.5 px,9.470
1,1201 px,2048 px,-10.022
1,831.5 px,2040 px,8.088
1,1057 px,1950 px,5.280
1,850.5 px,1955.5 px,-7.806
1,1170 px,1906 px,-1.241
1,1317.5 px,2329.5 px,4.176
1,794 px,2179.5 px,-16.686
1,1115 px,2522 px,-6.036
1,1153 px,2064 px,8.569
1,1249.5 px,2330.5 px,7.186
1,879 px,2510 px,-6.206
1,873.5 px,1976.5 px,-8.829
1,520 px,2139 px,0.360
1,1111.5 px,2348.5 px,-3.608
1,634.5 px,2348 px,5.776
1,1250 px,2130 px,-5.208
1,927.5 px,1969.5 px,-18.286
1,775.5 px,2142.5 px,4.176
1,1255 px,2378 px,-15.316
1,895 px,2406 px,2.794
1,1107 px,2295.5 px,-0.015
1,680 px,1947.5 px,-2.511
1,1000.5 px,1927.5 px,4.054
1,1277.5 px,2205 px,-12.992
1,1101 px,2361.5 px,9.470
1,603 px,2167 px,-11.391
1,891 px,2536 px,-0.742
1,969 px,2082.5 px,13.863
1,1038 px,2357 px,12.481
1,657.5 px,2502.5 px,-0.911
1,701 px,1971 px,-3.535
1,904 px,2363 px,1.687
1,847.5 px,1771.5 px,-5.135
1,478.5 px,1692 px,4.054
1,1062 px,2158.5 px,0.087
1,755.5 px,1970 px,-12.992
1,579.5 px,2126 px,9.470
1,1044 px,2407.5 px,-10.022
1,674 px,2399 px,8.088
1,899.5 px,2309 px,5.280
1,693 px,2314.5 px,-7.806
1,1012.5 px,2265 px,-1.241
1,1311.5 px,2514.5 px,-18.286
1,637 px,2538 px,-16.686
1,995.5 px,2423 px,8.569
1,715.5 px,2335.5 px,-8.829
1,1092.5 px,2489 px,-5.208
1,770.5 px,2328 px,-18.286
1,618.5 px,2501.5 px,4.176
1,341.5 px,2770.5 px,5.654
1,302.5 px,3231.5 px,-5.115
1,615.5 px,2838 px,-11.391
1,434.5 px,2988.5 px,11.071
1,-166.5 px,2926 px,1.881
1,-97 px,2397 px,-0.742
1,83.5 px,2798.5 px,4.479
1,-204.5 px,2589.5 px,-8.599
1,49.5 px,3046.5 px,-5.629
1,-100 px,3088.5 px,9.673
1,490.5 px,2363 px,4.054
1,592 px,2797.5 px,9.470
1,-232.5 px,3233 px,4.054
1,389.5 px,3209.5 px,5.654
1,538.5 px,2802 px,4.054
1,105.5 px,2246.5 px,-2.511
1,426 px,2226.5 px,4.054
1,527 px,2660.5 px,9.470
1,621.5 px,2933.5 px,8.088
1,28.5 px,2466 px,-11.391
1,317 px,2835 px,-0.742
1,-65.5 px,2945.5 px,8.447
1,209.5 px,3027.5 px,-8.599
1,394 px,2382 px,13.863
1,464 px,2655.5 px,12.481
1,83 px,2801.5 px,-0.911
1,126.5 px,2270 px,-3.535
1,-245.5 px,2398.5 px,5.654
1,329.5 px,2662 px,1.687
1,-152.5 px,2616.5 px,11.071
1,487.5 px,2457.5 px,0.087
1,180.5 px,2269 px,-12.992
1,5 px,2425.5 px,9.470
1,469 px,2706 px,-10.022
1,99.5 px,2698 px,8.088
1,325 px,2608 px,5.280
1,118.5 px,2613.5 px,-7.806
1,438 px,2564 px,-1.241
1,585.5 px,2987.5 px,4.176
1,62 px,2837.5 px,-16.686
1,383 px,3180 px,-6.036
1,421 px,2722 px,8.569
1,517.5 px,2988.5 px,7.186
1,147 px,3168 px,-6.206
1,141.5 px,2634.5 px,-8.829
1,-212 px,2797 px,0.360
1,379.5 px,3006.5 px,-3.608
1,-97.5 px,3006 px,5.776
1,518 px,2788 px,-5.208
1,195.5 px,2627.5 px,-18.286
1,43.5 px,2800.5 px,4.176
1,523 px,3036 px,-15.316
1,163 px,3064 px,2.794
1,375 px,2953.5 px,-0.015
1,-52 px,2605.5 px,-2.511
1,268.5 px,2585.5 px,4.054
1,545.5 px,2863 px,-12.992
1,369 px,3019.5 px,9.470
1,-129 px,2825 px,-11.391
1,159 px,3194 px,-0.742
1,237 px,2740.5 px,13.863
1,306 px,3015 px,12.481
1,-74.5 px,3160.5 px,-0.911
1,-31 px,2629 px,-3.535
1,172 px,3021 px,1.687
1,115.5 px,2429.5 px,-5.135
1,-253.5 px,2350 px,4.054
1,330 px,2816.5 px,0.087
1,23.5 px,2628 px,-12.992
1,-152.5 px,2784 px,9.470
1,312 px,3065.5 px,-10.022
1,-58 px,3057 px,8.088
1,167.5 px,2967 px,5.280
1,-39 px,2972.5 px,-7.806
1,280.5 px,2923 px,-1.241
1,579.5 px,3172.5 px,-18.286
1,-95 px,3196 px,-16.686
1,263.5 px,3081 px,8.569
1,-16.5 px,2993.5 px,-8.829
1,360.5 px,3147 px,-5.208
1,38.5 px,2986 px,-18.286
1,-113.5 px,3159.5 px,4.176
1,1857.5 px,2767.5 px,5.654
1,1818.5 px,3228.5 px,-5.115
1,2131.5 px,2835 px,-11.391
1,1950.5 px,2985.5 px,11.071
1,1349.5 px,2923 px,1.881
1,1419 px,2394 px,-0.742
1,1599.5 px,2795.5 px,4.479
1,1311.5 px,2586.5 px,-8.599
1,1565.5 px,3043.5 px,-5.629
1,1416 px,3085.5 px,9.673
1,2006.5 px,2360 px,4.054
1,2108 px,2794.5 px,9.470
1,1283.5 px,3230 px,4.054
1,1905.5 px,3206.5 px,5.654
1,2054.5 px,2799 px,4.054
1,1621.5 px,2243.5 px,-2.511
1,1942 px,2223.5 px,4.054
1,2043 px,2657.5 px,9.470
1,2137.5 px,2930.5 px,8.088
1,1544.5 px,2463 px,-11.391
1,1833 px,2832 px,-0.742
1,1450.5 px,2942.5 px,8.447
1,1725.5 px,3024.5 px,-8.599
1,1910 px,2379 px,13.863
1,1980 px,2652.5 px,12.481
1,1599 px,2798.5 px,-0.911
1,1642.5 px,2267 px,-3.535
1,1270.5 px,2395.5 px,5.654
1,1845.5 px,2659 px,1.687
1,1363.5 px,2613.5 px,11.071
1,2003.5 px,2454.5 px,0.087
1,1696.5 px,2266 px,-12.992
1,1521 px,2422.5 px,9.470
1,1985 px,2703 px,-10.022
1,1615.5 px,2695 px,8.088
1,1841 px,2605 px,5.280
1,1634.5 px,2610.5 px,-7.806
1,1954 px,2561 px,-1.241
1,2101.5 px,2984.5 px,4.176
1,1578 px,2834.5 px,-16.686
1,1899 px,3177 px,-6.036
1,1937 px,2719 px,8.569
1,2033.5 px,2985.5 px,7.186
1,1663 px,3165 px,-6.206
1,1657.5 px,2631.5 px,-8.829
1,1304 px,2794 px,0.360
1,1895.5 px,3003.5 px,-3.608
1,1418.5 px,3003 px,5.776
1,2034 px,2785 px,-5.208
1,1711.5 px,2624.5 px,-18.286
1,1559.5 px,2797.5 px,4.176
1,2039 px,3033 px,-15.316
1,1679 px,3061 px,2.794
1,1891 px,2950.5 px,-0.015
1,1464 px,2602.5 px,-2.511
1,1784.5 px,2582.5 px,4.054
1,2061.5 px,2860 px,-12.992
1,1885 px,3016.5 px,9.470
1,1387 px,2822 px,-11.391
1,1675 px,3191 px,-0.742
1,1753 px,2737.5 px,13.863
1,1822 px,3012 px,12.481
1,1441.5 px,3157.5 px,-0.911
1,1485 px,2626 px,-3.535
1,1688 px,3018 px,1.687
1,1631.5 px,2426.5 px,-5.135
1,1262.5 px,2347 px,4.054
1,1846 px,2813.5 px,0.087
1,1539.5 px,2625 px,-12.992
1,1363.5 px,2781 px,9.470
1,1828 px,3062.5 px,-10.022
1,1458 px,3054 px,8.088
1,1683.5 px,2964 px,5.280
1,1477 px,2969.5 px,-7.806
1,1796.5 px,2920 px,-1.241
1,2095.5 px,3169.5 px,-18.286
1,1421 px,3193 px,-16.686
1,1779.5 px,3078 px,8.569
1,1499.5 px,2990.5 px,-8.829
1,1876.5 px,3144 px,-5.208
1,1554.5 px,2983 px,-18.286
1,1402.5 px,3156.5 px,4.176
1,1756.5 px,1266.5 px,5.654
1,1717.5 px,1727.5 px,-5.115
1,2030.5 px,1334 px,-11.391
1,1849.5 px,1484.5 px,11.071
1,1248.5 px,1422 px,1.881
1,1318 px,893 px,-0.742
1,1498.5 px,1294.5 px,4.479
1,1210.5 px,1085.5 px,-8.599
1,1464.5 px,1542.5 px,-5.629
1,1315 px,1584.5 px,9.673
1,1905.5 px,859 px,4.054
1,2007 px,1293.5 px,9.470
1,1182.5 px,1729 px,4.054
1,1804.5 px,1705.5 px,5.654
1,1953.5 px,1298 px,4.054
1,1520.5 px,742.5 px,-2.511
1,1841 px,722.5 px,4.054
1,1942 px,1156.5 px,9.470
1,2036.5 px,1429.5 px,8.088
1,1443.5 px,962 px,-11.391
1,1732 px,1331 px,-0.742
1,1349.5 px,1441.5 px,8.447
1,1624.5 px,1523.5 px,-8.599
1,1809 px,878 px,13.863
1,1879 px,1151.5 px,12.481
1,1498 px,1297.5 px,-0.911
1,1541.5 px,766 px,-3.535
1,1169.5 px,894.5 px,5.654
1,1744.5 px,1158 px,1.687
1,1262.5 px,1112.5 px,11.071
1,1902.5 px,953.5 px,0.087
1,1595.5 px,765 px,-12.992
1,1420 px,921.5 px,9.470
1,1884 px,1202 px,-10.022
1,1514.5 px,1194 px,8.088
1,1740 px,1104 px,5.280
1,1533.5 px,1109.5 px,-7.806
1,1853 px,1060 px,-1.241
1,2000.5 px,1483.5 px,4.176
1,1477 px,1333.5 px,-16.686
1,1798 px,1676 px,-6.036
1,1836 px,1218 px,8.569
1,1932.5 px,1484.5 px,7.186
1,1562 px,1664 px,-6.206
1,1556.5 px,1130.5 px,-8.829
1,1203 px,1293 px,0.360
1,1794.5 px,1502.5 px,-3.608
1,1317.5 px,1502 px,5.776
1,1933 px,1284 px,-5.208
1,1610.5 px,1123.5 px,-18.286
1,1458.5 px,1296.5 px,4.176
1,1938 px,1532 px,-15.316
1,1578 px,1560 px,2.794
1,1790 px,1449.5 px,-0.015
1,1363 px,1101.5 px,-2.511
1,1683.5 px,1081.5 px,4.054
1,1960.5 px,1359 px,-12.992
1,1784 px,1515.5 px,9.470
1,1286 px,1321 px,-11.391
1,1574 px,1690 px,-0.742
1,1652 px,1236.5 px,13.863
1,1721 px,1511 px,12.481
1,1340.5 px,1656.5 px,-0.911
1,1384 px,1125 px,-3.535
1,1587 px,1517 px,1.687
1,1530.5 px,925.5 px,-5.135
1,1161.5 px,846 px,4.054
1,1745 px,1312.5 px,0.087
1,1438.5 px,1124 px,-12.992
1,1262.5 px,1280 px,9.470
1,1727 px,1561.5 px,-10.022
1,1357 px,1553 px,8.088
1,1582.5 px,1463 px,5.280
1,1376 px,1468.5 px,-7.806
1,1695.5 px,1419 px,-1.241
1,1994.5 px,1668.5 px,-18.286
1,1320 px,1692 px,-16.686
1,1678.5 px,1577 px,8.569
1,1398.5 px,1489.5 px,-8.829
1,1775.5 px,1643 px,-5.208
1,1453.5 px,1482 px,-18.286
1,1301.5 px,1655.5 px,4.176
